"filename", "language", "XML", "HTML", "Markdown", "Java", "JavaScript", "Less", "CSS", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\inet\model\InetServerInfo.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 9, 38
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\inet\repository\IInetRepository.java", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 7, 20
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\inet\service\InetServiceImpl.java", "Java", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 5, 10, 70
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\model\ChatRecordInfo.java", "Java", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 5, 20, 90
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\model\GroupsInfo.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 10, 39
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\model\LuckUserInfo.java", "Java", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 14, 63
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\model\TalkBoxInfo.java", "Java", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 5, 18, 72
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\model\UserFriendInfo.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 9, 38
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\model\UserGroupInfo.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 9, 38
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\model\UserInfo.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 10, 46
